 71.75   83.24   97.94   98.59   97.54   97.49   97.02   98.40   99.34   97.53   96.11   94.77   93.60   92.64   90.96   88.17   85.51   82.85   79.51   76.15   72.85   69.12   67.79   65.20   63.35   62.10   60.72   59.26   56.72   57.49   41.54   13.02    3.85    2.68    3.75    5.32    6.94    7.41    6.22    5.78  
  0.00    0.01    0.00    0.00    0.00    0.00    0.00    0.04    0.19    0.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  
 69.29   65.67   66.68   65.62   60.90   69.94   82.28   89.82   97.31   97.88   96.29   96.66   96.82   95.14   90.97   89.03   83.21   70.08   68.17   69.13   69.41   70.73   65.07   62.02   62.49   62.07   59.24   53.80   40.72   30.82   39.98   45.35   14.02    4.06    6.47    8.64    8.90    7.47    5.88    4.77  
 57.77   64.12   73.85   87.34   99.28   99.60   99.85   99.82   99.26   98.90   98.34   97.08   95.18   92.05   88.19   84.04   80.03   76.94   74.57   72.01   69.20   67.22   65.73   64.25   63.09   61.55   60.35   58.72   57.68   47.75   18.30    4.34    1.54    1.76    3.51    5.24    6.29    7.27    8.63    8.15  
  0.00    0.04    0.07    0.13    0.18    0.26    0.33    0.39    0.45    0.24    0.09    0.04    0.02    0.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  
 39.13   44.79   49.53   54.42   74.60   93.28   90.60   76.07   80.48   89.10   96.32   96.92   90.42   86.94   85.15   83.10   81.97   80.54   76.79   72.58   70.82   68.37   66.21   65.23   64.64   60.83   60.30   59.67   55.94   25.42    4.74    1.06    0.26    0.74    3.00    4.32    6.11    8.77    9.46    8.48  
 47.52   48.89   58.29   68.13   81.66   96.62   99.16   96.98   97.52   97.71   98.05   98.57   99.00   99.07   97.94   94.78   87.49   80.15   77.21   74.68   71.47   69.04   66.21   65.07   65.61   62.80   61.80   60.80   59.49   58.77   19.76    0.90    0.10    0.62    3.18    4.51    5.68    7.91    9.85    8.35  
  0.00    0.03    0.00    0.01    0.01    0.03    0.22    0.11    0.03    0.01    0.01    0.01    0.01    0.01    0.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  
 67.24   72.32   83.12   98.34   94.73   77.26   78.53   74.50   50.87   47.01   58.97   80.92   88.67   89.37   88.64   87.05   85.06   84.26   83.68   79.68   74.13   70.34   67.18   64.91   63.36   60.79   58.79   50.73   51.95   47.07   22.34    7.69    2.45    2.25    3.32    4.94    5.64    6.43    6.29    5.57  
 58.92   67.74   74.29   82.11   92.79   98.85   99.85   99.98   99.96   99.95   99.51   97.20   93.47   90.18   87.07   83.13   79.50   77.03   74.71   72.10   70.06   68.93   67.20   63.22   59.97   63.38   66.33   58.07   54.67   31.96   11.04    4.09    4.25    2.76    4.19    6.06    7.51    6.43    6.88    8.31  
  0.00    0.00    0.63    0.01    0.14    0.31    0.07    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  
 67.89   52.51   56.81   55.13   50.95   42.75   41.71   64.40   81.34   81.37   88.90   96.65   96.59   94.94   92.40   90.14   87.60   84.92   79.92   68.87   42.31   37.02   44.71   52.02   65.95   65.99   63.76   61.90   59.48   48.98   28.51   33.91   18.44    5.03    7.22    9.25    9.28    7.58    5.49    4.62  
 54.25   57.93   72.60   88.13   92.09   95.97   97.27   77.83   60.89   53.62   54.92   67.01   80.53   86.95   90.23   91.80   91.32   83.25   73.15   74.06   70.69   68.56   67.34   64.58   59.97   56.22   58.64   59.57   61.02   60.22   35.86   10.11    1.83    1.20    2.72    4.92    5.06    5.55    6.63    7.58  
  0.00    0.01    0.01    0.00    0.00    0.01    0.07    0.05    0.05    0.06    0.10    0.13    0.11    0.05    0.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  
 68.24   51.19   53.69   49.05   51.14   44.09   48.93   66.37   70.24   70.69   74.56   87.72   96.21   99.19   95.69   91.76   91.60   87.70   75.53   70.08   51.89   37.20   47.17   59.88   63.51   64.42   62.74   61.04   58.64   48.17   32.75   35.13   32.84    9.25    8.05    8.35    7.89    6.69    5.63    5.06  
 53.40   57.28   69.09   86.04   97.92   99.13   99.77   99.84   99.73   98.53   98.41   97.63   94.43   90.88   87.56   82.92   79.49   78.59   77.23   73.92   71.37   68.99   66.46   65.56   64.59   63.35   62.60   61.20   60.14   59.93   39.22    7.74    1.00    0.94    2.93    4.72    5.19    6.33    7.91    8.03  
  0.00    0.02    0.01    0.01    0.07    0.15    0.31    0.23    0.08    0.05    0.04    0.04    0.05    0.03    0.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  
 69.76   69.57   70.56   65.46   67.95   82.13   89.17   94.07   99.97   99.34   98.13   99.05   98.78   96.77   89.71   87.18   82.82   78.87   78.23   76.10   74.39   72.11   69.64   66.58   64.35   63.51   63.51   61.38   53.74   31.65   25.77   35.54   20.64    4.93    5.84    8.39    9.18    7.78    5.98    4.72  
 41.04   45.83   49.27   62.61   80.86   93.90   94.14   83.20   87.36   91.90   94.46   95.55   96.02   94.58   92.71   89.49   85.25   81.11   76.79   73.65   70.93   68.20   65.80   63.95   62.58   62.84   59.97   58.88   58.82   41.40    7.38    0.42    0.08    0.89    3.20    4.33    6.26    8.95    9.64    8.52  
  0.00    0.05    0.10    0.21    0.25    0.27    0.28    0.18    0.11    0.03    0.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  
 67.54   51.56   56.02   54.84   51.16   43.02   43.99   68.93   83.53   82.06   92.90   97.81   96.92   94.78   92.25   89.11   85.63   82.31   78.67   71.15   48.47   32.80   31.37   48.89   67.57   64.46   62.91   61.23   58.77   52.03   31.83   26.47   21.97    5.02    7.05    8.93    9.09    7.77    5.79    4.75  
