 57.11  62.51  70.65  80.27  88.59  92.93  95.35  96.13  95.60  93.93  93.07  92.58  92.53  91.64  89.77  87.43  84.82  81.41  77.44  73.51  69.81  67.98  66.18  64.54  62.89  62.41  62.04  58.53  55.66  44.34  22.46   8.58   4.14   2.30   3.89   5.68   6.93   7.39   7.76   7.53 
 -0.15  -0.27   0.24  -0.13   0.00  -0.09   0.02  -0.23   0.02  -0.08   0.19  -0.16   0.11  -0.05   0.23  -0.06   0.09  -0.09   0.28  -0.01   0.01  -0.20   0.04  -0.32   0.08  -0.48   0.25  -0.02  -0.09   0.02  -0.01   0.02  -0.25   0.06  -0.05   0.04  -0.03   0.07   0.08  -0.02 
 -0.16  -0.34   0.17  -0.24  -0.01  -0.14   0.01  -0.21  -0.10   0.17  -0.02  -0.28  -0.04   0.02   0.15   0.30  -0.07   0.03  -0.04  -0.09   0.18  -0.09  -0.29   0.15  -0.17   0.28  -0.16  -0.13  -0.05  -0.19   0.24   0.20   0.15   0.04  -0.02  -0.04   0.00  -0.02  -0.05  -0.00 
 -0.18  -0.44  -0.00  -0.20   0.03  -0.24  -0.10  -0.13  -0.25   0.23  -0.24   0.07  -0.10  -0.05  -0.14  -0.25   0.01   0.10   0.02   0.34  -0.15   0.23   0.19   0.16   0.12  -0.03  -0.09   0.08   0.12   0.18  -0.13  -0.13  -0.01  -0.03   0.02  -0.00   0.00  -0.03   0.01  -0.01 
 -0.07  -0.40  -0.17  -0.07   0.08  -0.21   0.19   0.19   0.16  -0.12   0.09   0.16  -0.21  -0.25  -0.35   0.08   0.02  -0.10  -0.25  -0.39  -0.01   0.00   0.15  -0.12  -0.07   0.05   0.25   0.07  -0.07  -0.13  -0.04   0.04   0.01   0.00  -0.01   0.02   0.04   0.01  -0.02   0.03 
  0.07  -0.26  -0.36   0.01   0.14  -0.23   0.27   0.17   0.24  -0.09   0.31   0.27   0.19   0.24   0.19   0.18  -0.00   0.02   0.18   0.24  -0.03  -0.07  -0.11   0.11   0.16   0.03  -0.24  -0.11   0.04   0.12   0.01  -0.01  -0.04   0.03   0.04   0.02  -0.03  -0.01   0.01  -0.05 
  0.19  -0.11  -0.41   0.06   0.06  -0.10  -0.12   0.07   0.16   0.20  -0.15  -0.44   0.16   0.32  -0.03  -0.14   0.16   0.16  -0.00   0.08   0.22  -0.05   0.06  -0.11  -0.12  -0.01   0.27   0.22  -0.02  -0.16   0.04  -0.08   0.10  -0.04  -0.01  -0.07  -0.02  -0.00   0.02   0.05 
  0.23  -0.10  -0.25   0.05   0.02   0.05  -0.16  -0.00   0.27   0.01  -0.20  -0.36  -0.01  -0.40   0.08   0.05  -0.08  -0.09  -0.18   0.00  -0.07   0.16  -0.05   0.02   0.03  -0.20  -0.19  -0.41   0.03   0.19  -0.05   0.10  -0.19   0.08  -0.00   0.10   0.03   0.01  -0.01  -0.05 
  0.20  -0.15   0.01  -0.03  -0.03   0.19   0.27  -0.10   0.11  -0.22  -0.11  -0.07   0.13  -0.44   0.09  -0.33  -0.13  -0.15   0.18   0.18  -0.03  -0.22  -0.02   0.01  -0.02   0.31   0.02   0.23   0.13  -0.06   0.19  -0.08   0.07  -0.12   0.10  -0.10   0.00  -0.04  -0.02   0.03 
  0.24  -0.17   0.06  -0.04  -0.07   0.21   0.41  -0.15  -0.11  -0.10  -0.07  -0.03   0.11   0.26  -0.08  -0.38   0.13   0.29  -0.06  -0.31  -0.08   0.14  -0.24   0.13   0.04  -0.03  -0.02  -0.15  -0.09   0.06  -0.14   0.10  -0.02   0.10  -0.09   0.08   0.08   0.10   0.04  -0.03 
  0.37  -0.17   0.12  -0.01  -0.07   0.24   0.27  -0.13  -0.11   0.04  -0.06   0.02  -0.03   0.12  -0.04   0.39  -0.24  -0.09  -0.14   0.11   0.11   0.09   0.25  -0.02  -0.14  -0.30  -0.06   0.08  -0.13   0.05   0.03  -0.27   0.14   0.02   0.08  -0.08  -0.20  -0.09   0.04   0.02 
